,,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC
Dataset 3,Alicante,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Dataset 3,Alveralhao,0.9632352941176471,0.9953798767967146,0.8791946308724832,0.9987123358228174,0.004620123203285421,0.03676470588235294,0.12080536912751678,0.9942956349206349
Dataset 3,Arinto,0.74,0.9939728779507785,0.6065573770491803,0.9967262654243264,0.006027122049221497,0.26,0.39344262295081966,0.9908234126984127
Dataset 3,Bastardo,0.7368421052631579,0.9982556690755046,0.6666666666666666,0.9987534280727998,0.00174433092449539,0.2631578947368421,0.3333333333333333,0.9970238095238095
Dataset 3,Boal,0.9411764705882353,0.996248124062031,0.6808510638297872,0.9994981179422836,0.0037518759379689846,0.058823529411764705,0.3191489361702128,0.9957837301587301
Dataset 3,Cabernet Franc,0.7368421052631579,0.9970097184151507,0.5384615384615384,0.9987518721917125,0.00299028158484924,0.2631578947368421,0.46153846153846156,0.9957837301587301
Dataset 3,Cabernet Sauvignon,0.7368421052631579,0.9995016197358585,0.875,0.9987549800796812,0.00049838026414154,0.2631578947368421,0.125,0.9982638888888888
Dataset 3,Carignon Noir,0.5789473684210527,0.9987540493396462,0.6875,0.99800796812749,0.00124595066035385,0.42105263157894735,0.3125,0.9967757936507936
Dataset 3,Cercial,0.8125,0.9947289156626506,0.65,0.9977341389728097,0.005271084337349397,0.1875,0.35,0.9925595238095238
Dataset 3,Chardonnay,0.7894736842105263,0.9992524296037877,0.8333333333333334,0.9990034877927254,0.00074757039621231,0.21052631578947367,0.16666666666666666,0.9982638888888888
Dataset 3,Codega,0.7923387096774194,0.982183257918552,0.8618421052631579,0.9711968680089486,0.017816742081447963,0.20766129032258066,0.13815789473684212,0.9588293650793651
Dataset 3,Codega do Larinho,0.8181818181818182,0.9896333754740835,0.6057692307692307,0.9964358452138493,0.010366624525916562,0.18181818181818182,0.3942307692307692,0.986359126984127
Dataset 3,Cornifesto,0.8888888888888888,0.9975087194818136,0.6153846153846154,0.9995007488766849,0.002491280518186348,0.1111111111111111,0.38461538461538464,0.9970238095238095
Dataset 3,Donzelinho Branco,0.7894736842105263,0.9896359959555107,0.594059405940594,0.995929788857797,0.010364004044489384,0.21052631578947367,0.40594059405940597,0.9858630952380952
Dataset 3,Donzelinho Tinto,0.6842105263157895,0.9985048592075754,0.6842105263157895,0.9985048592075754,0.00149514079242462,0.3157894736842105,0.3157894736842105,0.9970238095238095
Dataset 3,Esgana Cao,0.5333333333333333,0.9965017491254373,0.5333333333333333,0.9965017491254373,0.0034982508745627187,0.4666666666666667,0.4666666666666667,0.9930555555555556
Dataset 3,Fernao Pires,0.75,0.9982569721115537,0.631578947368421,0.9990032394717169,0.0017430278884462151,0.25,0.3684210526315789,0.9972718253968254
Dataset 3,Folgasao,0.7333333333333333,0.993705941591138,0.6376811594202898,0.9959626545546303,0.0062940584088620345,0.26666666666666666,0.36231884057971014,0.9898313492063492
